constructorStandingsId,raceId,constructorId,points,position,positionText,wins
28497,1105,51,8.0,8,8,0
28498,1105,214,40.0,5,5,0
28499,1105,3,1.0,10,10,0
28500,1105,213,2.0,9,9,0
28501,1105,210,8.0,7,7,0
28502,1105,1,17.0,6,6,0
28522,1106,1,17.0,6,6,0
28521,1106,210,8.0,8,8,0
28520,1106,213,2.0,10,10,0
28519,1106,3,7.0,9,9,0
28518,1106,214,44.0,5,5,0
28517,1106,51,9.0,7,7,0
28516,1106,131,167.0,2,2,0
28515,1106,6,122.0,4,4,0
28514,1106,117,154.0,3,3,0
28513,1106,9,321.0,1,1,8
28541,1107,210,11.0,7,7,0
28539,1107,3,7.0,9,9,0
28535,1107,6,154.0,4,4,0
28534,1107,117,175.0,3,3,0
28540,1107,213,2.0,10,10,0
28542,1107,1,29.0,6,6,0
28538,1107,214,47.0,5,5,0
28533,1107,9,377.0,1,1,9
28537,1107,51,9.0,8,8,0
28536,1107,131,178.0,2,2,0
28543,1108,9,411.0,1,1,10
28544,1108,117,181.0,3,3,0
28545,1108,6,157.0,4,4,0
28546,1108,131,203.0,2,2,0
28547,1108,51,9.0,9,9,0
28548,1108,214,47.0,6,6,0
28549,1108,3,11.0,7,7,0
28550,1108,213,2.0,10,10,0
28551,1108,210,11.0,8,8,0
28552,1108,1,59.0,5,5,0
28553,1109,9,452.0,1,1,11
28554,1109,117,184.0,3,3,0
28555,1109,6,167.0,4,4,0
28556,1109,131,223.0,2,2,0
28557,1109,51,9.0,9,9,0
28558,1109,214,47.0,6,6,0
28559,1109,3,11.0,7,7,0
28560,1109,213,2.0,10,10,0
28561,1109,210,11.0,8,8,0
28562,1109,1,87.0,5,5,0
28563,1110,9,503.0,1,1,12
28564,1110,117,196.0,3,3,0
28565,1110,6,191.0,4,4,0
28566,1110,131,247.0,2,2,0
28567,1110,51,9.0,9,9,0
28568,1110,214,57.0,6,6,0
28569,1110,3,11.0,7,7,0
28570,1110,213,3.0,10,10,0
28571,1110,210,11.0,8,8,0
28572,1110,1,103.0,5,5,0
